"","date","P_Tmp_1","P_Cond_1","P_pH_1","P_Tmp_2","P_Cond_2","P_pH_2","P_Tmp_3","P_Cond_3","P_pH_3"
"46","07/23/2025 07:49:00","58.3","58.3","27.4","27.5","7.96","7.85","7.83","57.7","28.1"
"47","07/23/2025 07:50:00","58.2","58.2","27.4","27.5","7.96","7.85","7.83","57.6","28.1"
"48","07/23/2025 07:51:00","58.2","58.4","27.4","27.5","7.96","7.85","7.83","57.9","28.1"
"49","07/23/2025 07:52:00","58.2","58.3","27.4","27.5","7.96","7.85","7.83","57.9","28.1"
"50","07/23/2025 07:53:00","58.0","58.3","27.4","27.4","7.96","7.85","7.83","57.7","28.1"
"51","07/23/2025 07:54:00","58.1","58.3","27.4","27.4","7.96","7.85","7.83","57.9","28.1"
"52","07/23/2025 07:55:00","58.1","58.4","27.4","27.4","7.96","7.85","7.83","57.8","28.1"
"53","07/23/2025 07:56:00","58.0","58.2","27.4","27.4","7.96","7.85","7.83","57.9","28.1"
"54","07/23/2025 07:57:00","57.9","58.5","27.4","27.4","7.96","7.85","7.83","57.7","28.0"
"55","07/23/2025 07:58:00","58.4","58.4","27.3","27.4","7.96","7.85","7.83","58.0","28.0"
"56","07/23/2025 07:59:00","58.3","58.3","27.3","27.4","7.96","7.85","7.83","57.8","28.0"
"57","07/23/2025 08:00:00","58.4","58.4","27.3","27.4","7.96","7.85","7.83","57.8","28.0"
"58","07/23/2025 08:01:00","58.2","58.5","27.3","27.4","7.96","7.85","7.83","57.8","28.0"
"59","07/23/2025 08:02:00","58.1","58.3","27.3","27.4","7.96","7.85","7.83","57.9","28.0"
"60","07/23/2025 08:03:00","58.1","58.3","27.3","27.4","7.96","7.85","7.83","57.9","28.0"
"61","07/23/2025 08:04:00","58.2","58.4","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"62","07/23/2025 08:05:00","58.3","58.3","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"63","07/23/2025 08:06:00","58.3","58.4","27.3","27.3","7.96","7.85","7.83","58.0","28.0"
"64","07/23/2025 08:07:00","58.2","58.4","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"65","07/23/2025 08:08:00","58.3","58.5","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"66","07/23/2025 08:09:00","58.3","58.2","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"67","07/23/2025 08:10:00","58.5","58.3","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"68","07/23/2025 08:11:00","58.3","58.4","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"69","07/23/2025 08:12:00","58.3","58.4","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"70","07/23/2025 08:13:00","58.1","58.2","27.3","27.3","7.96","7.85","7.83","57.9","28.0"
"71","07/23/2025 08:14:00","58.2","58.5","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"72","07/23/2025 08:15:00","58.1","58.4","27.3","27.3","7.96","7.85","7.83","57.9","28.0"
"73","07/23/2025 08:16:00","58.2","58.3","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"74","07/23/2025 08:17:00","58.2","58.2","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"75","07/23/2025 08:18:00","58.1","58.4","27.3","27.3","7.96","7.85","7.83","57.9","28.0"
"76","07/23/2025 08:19:00","58.1","58.3","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"77","07/23/2025 08:20:00","58.2","58.2","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"78","07/23/2025 08:21:00","58.1","58.2","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"79","07/23/2025 08:22:00","58.1","58.2","27.3","27.3","7.96","7.85","7.83","57.8","28.0"
"80","07/23/2025 08:23:00","57.9","58.3","27.3","27.3","7.96","7.85","7.83","57.7","28.0"
"81","07/23/2025 08:24:00","58.1","58.3","27.3","27.3","7.96","7.85","7.83","58.0","28.0"
